bairro,numero_quartos,numero_banheiros,vagas_carro,area_gourmet,mobiliado,varanda,imobiliaria,tipo,preco,Link
Sao Judas Tadeu,3,1,0,N,N,N,S,Apartamento,680,https://www.casamineira.com.br/aluguel/apartamento/sao-joao-del-rei_mg/1-quarto
Fabricas,2,1,1,S,N,N,N,Casa,1200,https://www.imovelweb.com.br/imoveis-aluguel-sao-joao-del-rei-mg.html
Centro,3,2,1,S,N,N,N,Apartamento,2500,https://www.imovelweb.com.br/apartamentos-aluguel-sao-joao-del-rei-mg.html
Centro,4,1,1,S,N,N,N,Apartamento,3500,https://www.imovelweb.com.br/apartamentos-aluguel-sao-joao-del-rei-mg.html
Centro,3,2,1,S,N,N,N,Casa,1200,https://www.imovelweb.com.br/imoveis-aluguel-sao-joao-del-rei-mg.html
Colonia do Marcal,2,1,1,S,N,N,N,Apartamento,1400,https://www.imovelweb.com.br/apartamentos-aluguel-sao-joao-del-rei-mg.html
Jardim Paulo Campos,1,1,0,N,N,N,S,Kitnet,800,https://zanferimoveis.com.br/imoveis/aluguel
Dom Bosco,1,1,0,N,N,N,S,Kitnet,1000,https://zanferimoveis.com.br/imoveis/aluguel
Jardim Paulo Campos,1,1,0,N,N,N,S,Kitnet,900,https://zanferimoveis.com.br/imoveis/aluguel
Colonia do Marcal,2,2,2,S,S,S,S,Casa,3400,https://www.zanferimoveis.com.br/imovel/114251
Dom Bosco,1,1,0,N,S,N,S,Kitnet,1200,https://www.zanferimoveis.com.br/imovel/114243
Matosinhos,4,3,1,S,N,S,S,Apartamento,3400,https://www.zanferimoveis.com.br/imovel/114232
Centro,2,1,0,S,N,N,S,Apartamento,1500,https://www.zanferimoveis.com.br/imovel/114225
Centro,2,1,0,S,N,N,S,Apartamento,1300,https://www.zanferimoveis.com.br/imovel/114224
Colonia do Marcal,2,2,1,S,N,N,S,Casa,1500,https://www.zanferimoveis.com.br/imovel/114221
Centro,4,1,0,S,N,S,S,Apartamento,3000,https://www.zanferimoveis.com.br/imovel/114201
Colonia do Marcal,2,1,0,S,N,N,S,Kitnet,800,https://www.zanferimoveis.com.br/imovel/114186
Colonia do Marcal,3,2,2,S,N,S,S,Casa,3000,https://www.zanferimoveis.com.br/imovel/114177
Guarda Mor,2,1,1,S,N,S,S,Apartamento,1800,https://www.zanferimoveis.com.br/imovel/114172
Colonia do Marcal,2,1,1,N,N,N,S,Apartamento,1000,https://www.zanferimoveis.com.br/imovel/114170
Matosinhos,3,1,0,S,N,N,S,Apartamento,1400,https://www.zanferimoveis.com.br/imovel/114165
Matosinhos,2,1,0,S,N,S,S,Casa,1250,https://www.zanferimoveis.com.br/imovel/114145
Centro,2,1,0,S,N,N,S,Casa,1600,https://www.zanferimoveis.com.br/imovel/114138
Tejuco,2,1,1,S,N,S,S,Casa,900,https://www.zanferimoveis.com.br/imovel/114137
Colonia do Marcal,2,1,1,S,N,N,S,Apartamento,1200,https://www.zanferimoveis.com.br/imovel/114117
Centro,5,4,,S,N,S,S,Apartamento,4000,https://www.zanferimoveis.com.br/imovel/114113
Dom Bosco,2,1,1,S,N,S,S,Apartamento,1250,https://www.zanferimoveis.com.br/imovel/114093
Colonia do Marcal,2,2,4,S,N,S,S,Casa,4000,https://www.zanferimoveis.com.br/imovel/114087
Matosinhos,5,3,3,S,N,S,S,Casa,4500,https://www.zanferimoveis.com.br/imovel/113880
PIO XII,3,1,1,S,N,S,S,Apartamento,1790,https://www.zanferimoveis.com.br/imovel/113072
Vila Belizario,3,2,2,S,N,S,S,Apartamento,3500,https://www.zanferimoveis.com.br/imovel/110623
Bonfim,1,1,0,S,S,N,S,Kitnet,900,https://www.zanferimoveis.com.br/imovel/108554
Matosinhos,2,1,0,S,N,S,S,Apartamento,1300,https://www.zanferimoveis.com.br/imovel/108547
Bom Pastor,2,1,1,N,N,N,S,Apartamento,1200,https://www.zanferimoveis.com.br/imovel/03492
Colonia do Marcal,3,2,1,S,N,S,S,Casa,1500,https://www.zanferimoveis.com.br/imovel/02955
Colonia do Marcal,1,1,1,S,N,S,S,Kitnet,800,https://www.zanferimoveis.com.br/imovel/0917
Matosinhos,2,1,0,S,N,N,S,Apartamento,1400,https://www.zanferimoveis.com.br/imovel/108523
Dom Bosco,1,1,0,S,N,N,S,Apartamento,1200,https://www.zanferimoveis.com.br/imovel/11405
Centro,3,2,2,S,N,S,S,Apartamento,3500,https://www.zanferimoveis.com.br/imovel/11401
Bonfim,3,2,1,S,N,S,S,Casa,2800,https://www.zanferimoveis.com.br/imovel/11392
Jardim Paulo Campos,3,2,0,S,N,N,S,Apartamento,1200,https://www.zanferimoveis.com.br/imovel/11355
Fabricas,1,1,0,S,S,N,S,Kitnet,1400,https://mg.olx.com.br/regiao-de-juiz-de-fora/imoveis/kitnet-mobiliada-my-house-1417139654?lis=listing_1000
Dom Bosco,1,1,0,S,N,S,S,Kitnet,1000,https://mg.olx.com.br/regiao-de-juiz-de-fora/imoveis/kitnet-dom-bosco-1416518868?lis=listing_1000
Sao Judas Tadeu,1,1,0,N,N,S,N,Apartamento,650,https://mg.olx.com.br/regiao-de-juiz-de-fora/imoveis/apartamento-para-aluguel-com-12-metros-quadrados-com-1-quarto-1385133993?lis=listing_1000
Bonfim,1,1,0,S,S,N,S,Kitnet,1250,https://mg.olx.com.br/regiao-de-juiz-de-fora/imoveis/kitnet-mobiliada-no-bonfim-1416221770?lis=listing_1000
Colonia do Marcal,3,2,2,S,N,S,N,Apartamento,2500,https://mg.olx.com.br/regiao-de-juiz-de-fora/imoveis/apartamento-3-quartos-1345080447?lis=listing_1000
Fabricas,0,4,,N,N,N,N,Ponto comercial,8000,https://mg.olx.com.br/regiao-de-juiz-de-fora/comercio-e-industria/ponto-comercial-loja-box-para-aluguel-possui-290-metros-quadrados-1404333929?lis=listing_1000
Colis Del Rey,4,4,2,S,N,N,S,Casa,4500,https://domiciliumimoveis.com.br/imovel/1947/casa/colis-del-rey/sao-joao-del-rei/1
Colis Del Rey,5,5,3,S,N,S,S,Casa,6500,https://domiciliumimoveis.com.br/imovel/1946/casa/colis-del-rey/sao-joao-del-rei/1
Fabricas,2,1,0,S,N,N,S,Apartamento,1350,https://domiciliumimoveis.com.br/imovel/1941/apartamento/fabricas/sao-joao-del-rei/1
Fabricas,1,1,0,N,N,N,S,Kitnet,770,https://domiciliumimoveis.com.br/imovel/1938/kitnet/fabricas/sao-joao-del-rei/1
Januário,3,2,0,S,N,N,S,Casa,1200,https://domiciliumimoveis.com.br/imovel/1936/casa/januario-/sao-joao-del-rei/1
Fabricas,2,1,0,S,N,S,S,Apartamento,2450,https://domiciliumimoveis.com.br/imovel/1935/apartamento/fabricas/sao-joao-del-rei/1
Fabricas,2,1,0,S,N,S,S,Apartamento,2450,https://domiciliumimoveis.com.br/imovel/1934/apartamento/fabricas/sao-joao-del-rei/1
